campaign,x_beam_mm,side,n_events,n_triggered,npe_mean,npe_sem,sigma_group_ps,sigma_group_error_ps
EndTop,-400,left,2000,2000,581.1475,3.360790736102889,45.542398130478226,0.720268630664217
EndTop,-400,right,2000,1999,53.007,0.342911031464431,251.26863585967192,3.9748939134671786
End-only,-400,left,10000,10000,939.416,2.3529245237363647,37.23162327110059,0.2632804972497605
End-only,-400,right,10000,10000,160.4166,0.42260582632519395,127.97745204728074,0.9049824920719725
EndTop,0,left,2000,2000,150.991,0.876410554192497,106.47655331471637,1.6839631728244904
EndTop,0,right,2000,2000,151.1025,0.8778405304353405,108.65521457307837,1.71841944710205
End-only,0,left,10000,10000,349.9696,0.878040777859434,76.3743868758171,0.5400754731373362
End-only,0,right,10000,10000,350.4887,0.8763191354928865,75.28910738183367,0.5324010045075274
EndTop,400,left,2000,2000,52.809,0.32173165759682404,258.19385891197874,4.0834243438749755
EndTop,400,right,2000,2000,577.7995,3.1161081736478597,46.72866687515329,0.7390298773135245
End-only,400,left,10000,10000,160.481,0.4371890711122592,131.50972923576396,0.9299607125442907
End-only,400,right,10000,10000,938.254,2.3836920372397103,37.88499453784053,0.2679007608021563
