x_beam_mm,group,mean_ns_difference,mean_ns_difference_error,mean_ns_difference_sigma,rms_ns_difference,rms_ns_difference_error,rms_ns_difference_sigma,t50_ns_difference,t50_ns_difference_error,t50_ns_difference_sigma,t90_ns_difference,t90_ns_difference_error,t90_ns_difference_sigma,t99_ns_difference,t99_ns_difference_error,t99_ns_difference_sigma,frac_gt10_difference,frac_gt10_difference_error,frac_gt10_difference_sigma,frac_gt20_difference,frac_gt20_difference_error,frac_gt20_difference_sigma
-400,all_end,-0.41087387390416774,0.002149125631302658,-191.18187783890656,-0.24952134865396003,0.002533500127064876,-98.48878474027819,-0.37269331507314174,0.002456091982848218,-151.74240935428904,-0.7384205209614443,0.004317750972102959,-171.01971043082108,-1.0765363423922523,0.018109535915530228,-59.445827182630616,-0.008533759828739513,0.00012823583883016522,-66.54738571205179,-5.233360303514157e-05,4.201478089128601e-06,-12.455998085663163
-400,end_left_A_SUM4,-0.20962541628896947,0.0018388840276416785,-113.9959960160232,-0.11479482274963448,0.002275983571118406,-50.437456669876106,-0.18880056396784717,0.0025767807768107514,-73.26993652968928,-0.36537478251031175,0.00605553678819876,-60.33730704474734,-0.5530659973512737,0.02377848822048512,-23.259089990204192,-0.0029188836918207983,0.00011104856004308612,-26.284750479324455,-1.9611267299988966e-05,3.699711995751953e-06,-5.300755118913803
-400,end_left_B_SUM4,-0.20451271332245824,0.0028092953835237157,-72.79857950214432,-0.11105827375045352,0.00350430199169584,-31.691981459825325,-0.18891472248197116,0.0026744694793262944,-70.63633514694632,-0.3495756797506617,0.007585931161068641,-46.08210545657212,-0.5179626147673488,0.025690272608929324,-20.161818547122675,-0.002669234524910989,0.00014293879027370876,-18.673968905149962,-2.0125235499999728e-05,5.2885971188344685e-06,-3.805401517224107
-400,end_right_A_SUM4,-0.41367623815064825,0.007227349302351553,-57.23761518155086,-0.24311185826401038,0.009662275597024839,-25.160931896712633,-0.3696931712273246,0.008575038659950497,-43.11271189411276,-0.7118524530419279,0.020102743371012404,-35.41071185679061,-1.233832514075388,0.09829064869576142,-12.55289827107016,-0.027112765331822955,0.0008604772033917656,-31.50898736765118,-0.00024356755554784127,3.155879837421121e-05,-7.717897007982297
-400,end_right_B_SUM4,-0.3984890594152768,0.009088181826982828,-43.84695057840525,-0.22115769097165017,0.01183027504047663,-18.694213804410413,-0.36386457079915324,0.008919124899970422,-40.795994548788066,-0.6737350743768289,0.025992252176487037,-25.92061164235315,-1.1354053612370976,0.09643842992189121,-11.773370451558588,-0.02594380966546808,0.0009582552631251615,-27.07400696225496,-0.00019804434649846108,4.1924467884140185e-05,-4.72383685454909
0,all_end,-0.33086349939937776,0.0018123012674270873,-182.56539646363686,-0.19004047863685702,0.00255681012996628,-74.3271768245706,-0.2962865291628347,0.002908083708179672,-101.88376913960863,-0.5873254848556524,0.0061231571100888935,-95.9187351061005,-0.9198365056718867,0.011416791485312466,-80.56874007511153,-0.011046099437977068,0.0001466411931299782,-75.32739745363466,-6.358005114698865e-05,7.626359844773398e-06,-8.336880561774462
0,end_left_A_SUM4,-0.3450146785211601,0.004111311919404278,-83.91839035437431,-0.19998741511553275,0.0072724486668377195,-27.499323030972086,-0.3098820639994466,0.00471157764269109,-65.77034010681244,-0.6131988456460933,0.012257683987774137,-50.02566930732594,-0.986546284825053,0.03797269970955134,-25.98040940915521,-0.011633896054957567,0.0004253812959995333,-27.349336147046607,-6.765992619628958e-05,1.402041257141449e-05,-4.825815635000498
0,end_left_B_SUM4,-0.31687088688314624,0.005046028402803851,-62.796096571132125,-0.1875063440264335,0.004932701231123654,-38.01291325802032,-0.2794524227240416,0.0055831721908365045,-50.05262477533804,-0.5750800378842618,0.012338588004138068,-46.60825352879873,-0.8914523403930321,0.041926503310247894,-21.262263008113504,-0.011141268267312685,0.00031149264954262977,-35.76735529288286,-6.898351165556819e-05,1.5364740752326212e-05,-4.489728318072931
0,end_right_A_SUM4,-0.3439884147354988,0.0035992081455056765,-95.57335970275473,-0.19777637151344574,0.005545820625712564,-35.66223736059514,-0.3075301737653344,0.005195715026187811,-59.18919190434792,-0.6130310551107234,0.011098600917683455,-55.23498499112424,-0.9504085182548359,0.04538393435095838,-20.941518884309023,-0.011199410107495922,0.0003112242044458205,-35.985022846915406,-6.558682882107645e-05,1.943191713180292e-05,-3.3752114305662033
0,end_right_B_SUM4,-0.31727182968604684,0.003857811619725838,-82.24140029641839,-0.17499220074977329,0.005419683407868252,-32.28826991918403,-0.2897948539785853,0.003837679122561672,-75.51304961242973,-0.5448797021261766,0.008957519670130634,-60.82930567745326,-0.8503327096057625,0.04850035369525908,-17.532505328695834,-0.010202418265658073,0.0003804297938314194,-26.81813683125747,-5.204915350663405e-05,1.6074103403719956e-05,-3.2380750701521896
400,all_end,-0.40986317150198337,0.0017473696460621785,-234.5600843105173,-0.2513500427398039,0.0020168955055269223,-124.62224346825427,-0.3718009284872674,0.001745272495499624,-213.03316785544766,-0.7458102349464033,0.004252153340312737,-175.39589362305324,-1.075037834894399,0.013105564381376557,-82.02911401679606,-0.008572664377062552,8.113135600792734e-05,-105.66400956277518,-3.751818694137361e-05,5.718160612715181e-06,-6.56123349490155
400,end_left_A_SUM4,-0.43150032176136044,0.00840078845157111,-51.364264705494584,-0.2611907072135351,0.011192237191043272,-23.336773761599353,-0.3811283109085837,0.006638813849108762,-57.40909740370998,-0.7829666083604927,0.028110500333809046,-27.85317226882666,-1.2970344230227617,0.05265588174007293,-24.632280006730458,-0.029307616035974697,0.0008903652157248603,-32.91639825811805,-0.00018275561007790795,6.210669782062902e-05,-2.9426071018254145
400,end_left_B_SUM4,-0.4015879290912707,0.005643504854472253,-71.15931313021345,-0.22045086952618576,0.009811935525325034,-22.467623126669803,-0.37344536852765486,0.009276215061347116,-40.258377588048525,-0.6938879956351887,0.025167191070177734,-27.57113392989742,-1.042536209265009,0.08971021563653064,-11.621153754539419,-0.026084608204550122,0.001019853018163367,-25.57683091581704,-0.0001432848331332568,4.600131651445772e-05,-3.1147985316512394
400,end_right_A_SUM4,-0.20594114014861997,0.0023082293117192092,-89.22039898853527,-0.11140645512789038,0.0033263763060207042,-33.491837627103685,-0.18832864497276303,0.0022841798547707463,-82.44913139366813,-0.36014959075641784,0.007456800473876117,-48.29813966702647,-0.5206475123109513,0.024993730133150104,-20.831124827598156,-0.0026886578096410353,0.00012022408574928252,-22.36372015544382,-1.4839824760526633e-05,5.8220001944887626e-06,-2.548922065405348
400,end_right_B_SUM4,-0.20307916321157693,0.0023645706124264905,-85.88416101610086,-0.11198459028903018,0.003169989979594599,-35.32648084375067,-0.18605761939599885,0.0018681196300129608,-99.5962016601196,-0.3608458998007569,0.006291375103679724,-57.35564862277945,-0.5170871480507664,0.016203154377426372,-31.912745876886344,-0.0026982979394587344,0.00011750130401542957,-22.963982928261036,-4.195352494725445e-06,5.82092687997726e-06,-0.7207361613073268
