campaign,x_beam_mm,group,n_photons,mean_ns,mean_ns_error,rms_ns,rms_ns_error,t50_ns,t50_ns_error,t90_ns,t90_ns_error,t99_ns,t99_ns_error,frac_gt10,frac_gt10_error,frac_gt20,frac_gt20_error
EndTop,-400,all_end,1268309,3.8023941320622803,0.0020491323323692835,1.8660668639096296,0.0024306093272531406,3.3091629004417777,0.002321245950558518,6.302218389239256,0.003990743662525409,10.002466750003542,0.01724623740785431,0.01001806342145329,0.00012109716984610248,1.340367371042861e-05,3.285714262079279e-06
EndTop,-400,end_left_A_SUM4,603577,3.5652798155913734,0.0017460311295737702,1.6920360548833258,0.0022045567506160965,3.1428614266683814,0.002427778151736382,5.768401474110226,0.005643337695786622,9.410715770970935,0.02317188537483164,0.006865735440548596,0.0001054561062429906,8.283947201434117e-06,3.2803247293312123e-06
EndTop,-400,end_left_B_SUM4,558718,3.5708679383618964,0.0027223209156509534,1.6952529347448306,0.0033534576494386923,3.1437644035576993,0.002462860361730056,5.782678687612404,0.007334487902210139,9.440505266991282,0.02421654991841237,0.007087654237021181,0.00013385448923291295,1.0738870056092698e-05,4.575732320162428e-06
EndTop,-400,end_right_A_SUM4,55995,6.367203970093989,0.0067871202704890814,1.7221042731144032,0.0092982022158639,5.929867354110614,0.00804155100207789,8.644141054124473,0.019399527064177895,12.22904471578554,0.09688269410423796,0.04278953477989106,0.0008287926739852789,3.571747477453344e-05,2.4615695700112723e-05
EndTop,-400,end_right_B_SUM4,50019,6.3785766387870515,0.008809086701586791,1.7462837519487593,0.011509141253164896,5.9338861819643824,0.008463989489314289,8.676920556365786,0.025392731226241423,12.358117688275025,0.0947674014923432,0.04410324076850797,0.0009311508482013519,7.996961154761191e-05,3.649361248914936e-05
End-only,-400,all_end,10998326,4.213268005966448,0.0006479179450832261,2.1155882125635896,0.0007146755852187609,3.6818562155149195,0.0008026238628566769,7.0406389102007,0.0016483138284651172,11.079003092395794,0.005524725002007413,0.018551823250192803,4.218893001416737e-05,6.573727674557018e-05,2.61849191738232e-06
End-only,-400,end_left_A_SUM4,4696146,3.774905231880343,0.0005769486646791244,1.8068308776329602,0.0005657126031068161,3.3316619906362286,0.0008635348387256282,6.133776256620537,0.0021959657202566475,9.963781768322209,0.005336687195949679,0.009784619132369395,3.479644153803638e-05,2.7895214501423083e-05,1.7109466741102736e-06
End-only,-400,end_left_B_SUM4,4698014,3.7753806516843547,0.0006936204899633631,1.8063112084952841,0.0010170812368855055,3.3326791260396704,0.0010426436756949895,6.132254367363066,0.001936914761368024,9.958467881758631,0.008576060679014934,0.00975688876193217,5.01445258937333e-05,3.0864105556092426e-05,2.6517792554368466e-06
End-only,-400,end_right_A_SUM4,802048,6.780880208244637,0.0024838631951292506,1.9652161313784136,0.002627357087600649,6.299560525337939,0.002977372247574316,9.355993507166401,0.005270544632864096,13.462877229860927,0.016576947974167026,0.06990230011171401,0.00023135194208228534,0.0002792850303223747,1.9749057699636417e-05
End-only,-400,end_right_B_SUM4,802118,6.777065698202328,0.002234958703025111,1.9674414429204095,0.0027377134890309985,6.297750752763536,0.0028127692592976113,9.350655630742615,0.005550349005058957,13.493523049512122,0.017874853291385395,0.07004705043397605,0.0002262990216527143,0.000278013958046073,2.063679371559699e-05
EndTop,0,all_end,604187,5.004509297409839,0.0017007191184266798,1.7182114810789542,0.002387117338605515,4.573179451308929,0.0028114028437689295,7.247549442171099,0.005714791532590063,10.921675569053102,0.0094954068140136,0.017891811641097873,0.0001355849644541102,3.806768434276143e-05,6.862139724652877e-06
EndTop,0,end_left_A_SUM4,151812,4.989044308851527,0.003944036497864915,1.7064077462603864,0.00711865450663667,4.5597160855528065,0.004536680715972836,7.2184160273333875,0.011789275130208058,10.84671345386661,0.035204171602091744,0.017231839380286145,0.00040906267723509376,3.293547282164783e-05,1.3066256646418398e-05
EndTop,0,end_left_B_SUM4,150170,5.018906563655296,0.0047888090773464025,1.7214513597215855,0.004390936663654145,4.590391083477687,0.005360430441580438,7.257092040514898,0.011477879839102326,10.955133550086483,0.038919959113984076,0.017899713657854432,0.0002811652422705923,3.329559832190184e-05,1.3219515734544387e-05
EndTop,0,end_right_A_SUM4,152102,4.994104858655748,0.003367950993858936,1.7134848619397973,0.005085622609013069,4.562174259743296,0.0049688433718022085,7.2298139975738644,0.010259341581667311,10.911728016612198,0.04276655356548817,0.01788931112016936,0.00026945449264258875,3.944721305439771e-05,1.6767952242213318e-05
EndTop,0,end_right_B_SUM4,150103,5.016289670315821,0.003722124833952637,1.7313935915222414,0.005226799632364558,4.578938515026196,0.003564673811629553,7.28773369591729,0.008114625040626737,10.977082540460463,0.046996514859724024,0.018553926303937963,0.00036935222445697247,4.663464421097513e-05,1.4543664977601608e-05
End-only,0,all_end,7004583,5.335372796809216,0.0006260913384928786,1.9082519597158112,0.0009159415114662666,4.869465980471764,0.0007436160997638552,7.8348749270267515,0.0021986838640125355,11.841512074724989,0.006338799354411473,0.02893791107907494,5.5860155178456426e-05,0.00010164773548975007,3.327522033182208e-06
End-only,0,end_left_A_SUM4,1749583,5.334058987372687,0.0011608022235269622,1.9063951613759191,0.0014877054906570536,4.869598149552253,0.0012718065750839322,7.831614872979481,0.003356159806742254,11.833259738691662,0.014233489559564723,0.028865735435243713,0.00011669178668398247,0.00010059539901793742,5.083788540311697e-06
End-only,0,end_left_B_SUM4,1750113,5.335777450538442,0.0015905062912883704,1.908957703748019,0.002247491190484764,4.869843506201729,0.0015612806261232615,7.83217207839916,0.004527585265347105,11.846585890479515,0.015590653045656417,0.029040981925167117,0.00013406631664220032,0.00010227910997747003,7.830687206773572e-06
End-only,0,end_right_A_SUM4,1751813,5.338093273391247,0.0012693326505053813,1.911261233453243,0.002211915254089541,4.86970443350863,0.0015185684639985964,7.842845052684588,0.004233775223211086,11.862136534867034,0.015189581735595346,0.02908872122766528,0.00015573946779047038,0.00010503404187547416,9.820141598781007e-06
End-only,0,end_right_B_SUM4,1753074,5.333561500001868,0.0010141485166210865,1.9063857922720147,0.0014330156470311645,4.868733369004781,0.0014215771749814207,7.832613398043467,0.003793417863986348,11.827415250066226,0.011983818239817012,0.028756344569596037,9.11359551620681e-05,9.868379771760918e-05,6.845334853224188e-06
EndTop,400,all_end,1261217,3.8039111662767033,0.0016290170157935717,1.8655828245960053,0.0019130748180022968,3.309927131313535,0.001625995745248278,6.2966158472458815,0.00394562198574005,10.000675101365756,0.011599773608110882,0.010007794059230093,7.449576584358534e-05,2.5372318958593167e-05,4.949995639524576e-06
EndTop,400,end_left_A_SUM4,55546,6.353311609136644,0.008216119913176717,1.71022262942177,0.01080759439304304,5.921450427546487,0.006283853186955339,8.58575996302594,0.02790426977452595,12.20859380702056,0.04648183523145299,0.04113707557699924,0.0008466190416903555,9.001548266301804e-05,5.7582123411048794e-05
