x_mm,group,N,n_events,frac_excluded,mean_ns,rms_ns,sigma_fit_ns,sigma_fit_err_ns,channels,near_label,far_label
-690,top_nearest,4,2000,0.0,0.36381,0.04401,0.007768,,"(16,)",End-L,End-R
-690,end_near,4,2000,0.0,0.25892,0.00197,,,"(4, 5, 6, 7)",End-L,End-R
-690,end_far,4,2000,0.002,6.31142,0.59896,0.37821,0.020569,"(8, 9, 10, 11)",End-L,End-R
-690,top_nearest,20,2000,0.0,0.66524,0.06916,0.067231,0.006519,"(16,)",End-L,End-R
-690,end_near,20,2000,0.0,0.28424,0.01694,0.015744,,"(4, 5, 6, 7)",End-L,End-R
-690,end_far,20,2000,0.8915,9.0271,1.61961,,,"(8, 9, 10, 11)",End-L,End-R
-650,top_nearest,4,2000,0.0,0.36484,0.04594,0.008268,,"(18,)",End-L,End-R
-650,end_near,4,2000,0.0,0.43481,0.00691,,,"(0, 1, 2, 3)",End-L,End-R
-650,end_far,4,2000,0.0005,6.06155,0.50144,0.343913,0.023903,"(8, 9, 10, 11)",End-L,End-R
-650,top_nearest,20,2000,0.0,0.66578,0.06877,0.064168,0.006032,"(18,)",End-L,End-R
-650,end_near,20,2000,0.0,0.53585,0.03973,0.039533,0.001751,"(0, 1, 2, 3)",End-L,End-R
-650,end_far,20,2000,0.8365,9.15227,1.79836,,,"(8, 9, 10, 11)",End-L,End-R
-400,top_nearest,4,2000,0.0,0.37392,0.05064,0.011374,,"(31,)",End-L,End-R
-400,end_near,4,2000,0.0,1.51455,0.04628,0.02117,0.001989,"(0, 1, 2, 3)",End-L,End-R
-400,end_far,4,2000,0.0,4.82394,0.25627,0.2252,0.009987,"(8, 9, 10, 11)",End-L,End-R
-400,top_nearest,20,2000,0.0,0.68079,0.06944,0.072088,0.004478,"(31,)",End-L,End-R
-400,end_near,20,2000,0.0,1.78057,0.07995,0.077576,0.001722,"(0, 1, 2, 3)",End-L,End-R
-400,end_far,20,2000,0.1165,7.12026,1.3331,0.79422,0.037808,"(8, 9, 10, 11)",End-L,End-R
0,top_nearest,4,2000,0.0,0.38302,0.05362,0.009549,,"(50,)",End-L,End-R
0,end_near,4,2000,0.0,3.13278,0.12662,0.127878,0.004592,"(0, 1, 2, 3)",End-L,End-R
0,end_far,4,2000,0.0,3.1377,0.12469,0.126503,0.006337,"(8, 9, 10, 11)",End-L,End-R
0,top_nearest,20,2000,0.0,0.69881,0.07322,0.077287,0.006035,"(50,)",End-L,End-R
0,end_near,20,2000,0.0,3.84378,0.23475,0.222455,0.007333,"(0, 1, 2, 3)",End-L,End-R
0,end_far,20,2000,0.0,3.8503,0.2344,0.216409,0.005496,"(8, 9, 10, 11)",End-L,End-R
400,top_nearest,4,2000,0.0,0.37552,0.051,0.013495,,"(70,)",End-R,End-L
400,end_near,4,2000,0.0,1.51683,0.0461,0.016945,,"(8, 9, 10, 11)",End-R,End-L
400,end_far,4,2000,0.0,4.82857,0.24996,0.230789,0.009677,"(0, 1, 2, 3)",End-R,End-L
400,top_nearest,20,2000,0.0,0.67874,0.0687,0.069383,0.005475,"(70,)",End-R,End-L
400,end_near,20,2000,0.0,1.78359,0.07969,0.076513,0.002139,"(8, 9, 10, 11)",End-R,End-L
400,end_far,20,2000,0.115,7.19311,1.44328,0.825052,0.039431,"(0, 1, 2, 3)",End-R,End-L
650,top_nearest,4,2000,0.0,0.36466,0.04449,0.007814,,"(83,)",End-R,End-L
650,end_near,4,2000,0.0,0.43505,0.00695,,,"(8, 9, 10, 11)",End-R,End-L
650,end_far,4,2000,0.0015,6.04974,0.46864,0.393448,0.027362,"(0, 1, 2, 3)",End-R,End-L
650,top_nearest,20,2000,0.0,0.66439,0.0661,0.062605,0.006319,"(83,)",End-R,End-L
650,end_near,20,2000,0.0,0.53724,0.04,0.039689,0.001507,"(8, 9, 10, 11)",End-R,End-L
650,end_far,20,2000,0.831,9.18315,2.06332,,,"(0, 1, 2, 3)",End-R,End-L
690,top_nearest,4,2000,0.0,0.36347,0.0434,0.005995,,"(85,)",End-R,End-L
690,end_near,4,2000,0.0,0.25881,0.00237,,,"(12, 13, 14, 15)",End-R,End-L
690,end_far,4,2000,0.0035,6.29516,0.61076,0.395565,0.016919,"(0, 1, 2, 3)",End-R,End-L
690,top_nearest,20,2000,0.0,0.66261,0.06787,0.069873,0.008019,"(85,)",End-R,End-L
690,end_near,20,2000,0.0,0.28421,0.01691,0.014747,,"(12, 13, 14, 15)",End-R,End-L
690,end_far,20,2000,0.881,9.22991,1.67771,,,"(0, 1, 2, 3)",End-R,End-L
