x_mm,group,N_nominal,N_eff,reach_min,minimum_threshold,reach_nominal,reach_effective,npe_mean,reduced_threshold,starvation,sigma_fit_ns,sigma_fit_err_ns,resolution_limited
-690,end_far,20,7,0.95,4,0.1085,0.963,13.765,True,False,0.591942,0.02365,False
-690,end_near,4,4,0.95,4,1.0,1.0,1554.831,False,False,0.000567,2.4e-05,True
-690,top_nearest,4,4,0.95,4,1.0,1.0,318.6865,False,False,0.007779,0.001437,True
-670,end_far,20,7,0.95,4,0.1395,0.972,14.492,True,False,0.543378,0.021719,False
-670,end_near,4,4,0.95,4,1.0,1.0,1291.5335,False,False,0.001307,0.000102,True
-670,top_nearest,4,4,0.95,4,1.0,1.0,318.4955,False,False,0.008258,0.001481,True
-650,end_far,20,8,0.95,4,0.1635,0.957,15.006,True,False,0.596008,0.023175,False
-650,end_near,4,4,0.95,4,1.0,1.0,1071.6755,False,False,0.002733,0.000314,True
-650,top_nearest,4,4,0.95,4,1.0,1.0,317.989,False,False,0.008244,0.001479,True
-600,end_far,20,9,0.95,4,0.2515,0.9665,17.002,True,False,0.628702,0.023558,False
-600,end_near,4,4,0.95,4,1.0,1.0,755.3575,False,False,0.008962,0.004611,True
-600,top_nearest,4,4,0.95,4,1.0,1.0,370.7175,False,False,0.008637,0.000153,True
-550,end_far,20,11,0.95,4,0.419,0.955,19.1795,True,False,0.635726,0.022161,False
-550,end_near,4,4,0.95,4,1.0,1.0,586.444,False,False,0.016897,0.006519,True
-550,top_nearest,4,4,0.95,4,1.0,1.0,316.9495,False,False,0.00904,0.001209,True
-500,end_far,20,12,0.95,4,0.5445,0.9645,21.3305,True,False,0.647182,0.022974,False
-500,end_near,4,4,0.95,4,1.0,1.0,457.707,False,False,0.019437,0.000343,True
-500,top_nearest,4,4,0.95,4,1.0,1.0,373.2415,False,False,0.007402,0.000131,True
-450,end_far,20,14,0.95,4,0.6915,0.9565,23.694,True,False,0.682477,0.022984,False
-450,end_near,4,4,0.95,4,1.0,1.0,363.955,False,False,0.019413,0.004659,True
-450,top_nearest,4,4,0.95,4,1.0,1.0,319.4135,False,False,0.008067,0.001228,True
-400,end_far,20,17,0.95,4,0.8835,0.9575,27.9975,True,False,0.672542,0.023882,False
-400,end_near,4,4,0.95,4,1.0,1.0,301.7885,False,False,0.016022,0.002964,True
-400,top_nearest,4,4,0.95,4,1.0,1.0,367.1865,False,False,0.00871,0.007531,True
