x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
-690,end_left,near,4,2000,2000,1.0,0.0,1554.831,0.258919,0.001972,,,,False,mean-rms,0.025,"(4, 5, 6, 7)"
-690,end_right,far,4,2000,1996,0.998,0.002,13.765,6.31142,0.598958,6.118706,0.379516,0.013463,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-690,top_nearest,top,4,2000,2000,1.0,0.0,318.6865,0.363809,0.044009,0.341906,0.007768,,False,mean-rms-ultrafine,0.025,"(16,)"
-690,end_left,near,20,2000,2000,1.0,0.0,1554.831,0.284241,0.016939,0.280146,0.018606,,False,mean-rms-ultrafine,0.025,"(4, 5, 6, 7)"
-690,end_right,far,20,2000,217,0.1085,0.8915,13.765,9.027103,1.619607,8.591831,1.350627,0.132191,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-690,top_nearest,top,20,2000,2000,1.0,0.0,318.6865,0.665239,0.069164,0.659945,0.067231,0.006519,True,fixed-25ps-gaussian-core,0.025,"(16,)"
-670,end_left,near,4,2000,2000,1.0,0.0,1291.5335,0.346878,0.004496,,,,False,mean-rms,0.025,"(0, 1, 2, 3)"
-670,end_right,far,4,2000,1998,0.999,0.001,14.492,6.17426,0.542126,6.013642,0.372843,0.014852,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-670,top_nearest,top,4,2000,2000,1.0,0.0,318.4955,0.365753,0.0468,0.3424,0.006854,,False,mean-rms-ultrafine,0.025,"(17,)"
-670,end_left,near,20,2000,2000,1.0,0.0,1291.5335,0.415314,0.031352,0.409956,0.032889,0.004004,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-670,end_right,far,20,2000,279,0.1395,0.8605,14.492,9.351042,1.919086,8.792721,1.359364,0.115106,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-670,top_nearest,top,20,2000,2000,1.0,0.0,318.4955,0.664233,0.066875,0.659478,0.061784,0.007213,True,fixed-25ps-gaussian-core,0.025,"(17,)"
-650,end_left,near,4,2000,2000,1.0,0.0,1071.6755,0.434806,0.006912,,,,False,mean-rms,0.025,"(0, 1, 2, 3)"
-650,end_right,far,4,2000,1999,0.9995,0.0005,15.006,6.061549,0.501443,5.914913,0.345143,0.013778,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-650,top_nearest,top,4,2000,2000,1.0,0.0,317.989,0.364835,0.045939,0.339991,0.008268,,False,mean-rms-ultrafine,0.025,"(18,)"
-650,end_left,near,20,2000,2000,1.0,0.0,1071.6755,0.535846,0.039733,0.531727,0.039533,0.001751,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-650,end_right,far,20,2000,327,0.1635,0.8365,15.006,9.152266,1.798357,8.516006,1.409831,0.121599,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-650,top_nearest,top,20,2000,2000,1.0,0.0,317.989,0.665781,0.068772,0.660978,0.064168,0.006032,True,fixed-25ps-gaussian-core,0.025,"(18,)"
-600,end_left,near,4,2000,2000,1.0,0.0,755.3575,0.658577,0.019833,0.660899,0.010105,,False,mean-rms-ultrafine,0.025,"(4, 5, 6, 7)"
-600,end_right,far,4,2000,1999,0.9995,0.0005,17.002,5.817036,0.481648,5.701982,0.323091,0.011233,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
-600,top_nearest,top,4,2000,2000,1.0,0.0,370.7175,0.37139,0.049022,0.353833,0.012824,,False,mean-rms-ultrafine,0.025,"(21,)"
-600,end_left,near,20,2000,2000,1.0,0.0,755.3575,0.825686,0.049011,0.82712,0.047867,0.002916,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-600,end_right,far,20,2000,503,0.2515,0.7485,17.002,8.880911,1.771592,8.275375,1.344222,0.095193,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
-600,top_nearest,top,20,2000,2000,1.0,0.0,370.7175,0.677857,0.070337,0.67446,0.06816,0.007031,True,fixed-25ps-gaussian-core,0.025,"(21,)"
-550,end_left,near,4,2000,2000,1.0,0.0,586.444,0.880798,0.026087,0.873633,0.012901,,False,mean-rms-ultrafine,0.025,"(4, 5, 6, 7)"
-550,end_right,far,4,2000,2000,1.0,0.0,19.1795,5.548188,0.363015,5.469759,0.301888,0.012655,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-550,top_nearest,top,4,2000,2000,1.0,0.0,316.9495,0.36646,0.047424,0.340089,0.008402,,False,mean-rms-ultrafine,0.025,"(23,)"
-550,end_left,near,20,2000,2000,1.0,0.0,586.444,1.070928,0.052408,1.073504,0.045755,0.001574,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-550,end_right,far,20,2000,838,0.419,0.581,19.1795,8.710403,1.919281,8.036461,1.373935,0.080433,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-550,top_nearest,top,20,2000,2000,1.0,0.0,316.9495,0.665381,0.068625,0.656913,0.063165,0.005562,True,fixed-25ps-gaussian-core,0.025,"(23,)"
-500,end_left,near,4,2000,2000,1.0,0.0,457.707,1.100023,0.031982,1.088357,0.019579,0.008444,False,mean-rms,0.025,"(4, 5, 6, 7)"
-500,end_right,far,4,2000,2000,1.0,0.0,21.3305,5.298991,0.336365,5.230436,0.288777,0.012881,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
