page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   5     0 image    3600   960  rgb     3   8  image  no        68  0  1256  1256 63.2K 0.6%
   5     1 smask    3600   960  gray    1   8  image  no        68  0  1256  1256 3372B 0.1%
   5     2 image    2400  1350  rgb     3   8  image  no        70  0   947   947 94.3K 1.0%
   5     3 smask    2400  1350  gray    1   8  image  no        70  0   947   947 3162B 0.1%
   6     4 image    2970  1056  rgb     3   8  image  no        81  0   539   539  198K 2.2%
   6     5 smask    2970  1056  gray    1   8  image  no        81  0   539   539 3062B 0.1%
   7     6 image    2520  1530  rgb     3   8  image  no        90  0   522   522  210K 1.9%
   7     7 smask    2520  1530  gray    1   8  image  no        90  0   522   522 3759B 0.1%
   8     8 image    1727  1149  rgb     3   8  image  no        98  0   522   522  160K 2.7%
   8     9 smask    1727  1149  gray    1   8  image  no        98  0   522   522 1946B 0.1%
   8    10 image    2037   783  rgb     3   8  image  no        99  0   973   973  138K 2.9%
   8    11 smask    2037   783  gray    1   8  image  no        99  0   973   973 1568B 0.1%
   8    12 image    2017   783  rgb     3   8  image  no       100  0   963   963 99.6K 2.2%
   8    13 smask    2017   783  gray    1   8  image  no       100  0   963   963 1553B 0.1%
   9    14 image    3600   960  rgb     3   8  image  no       112  0  1256  1256 62.9K 0.6%
   9    15 smask    3600   960  gray    1   8  image  no       112  0  1256  1256 3372B 0.1%
   9    16 image    2400  1350  rgb     3   8  image  no       113  0   947   947 97.4K 1.0%
   9    17 smask    2400  1350  gray    1   8  image  no       113  0   947   947 3162B 0.1%
  10    18 image    2970  1056  rgb     3   8  image  no       121  0   539   539  190K 2.1%
  10    19 smask    2970  1056  gray    1   8  image  no       121  0   539   539 3062B 0.1%
  11    20 image    2520  1530  rgb     3   8  image  no       128  0   522   522  218K 1.9%
  11    21 smask    2520  1530  gray    1   8  image  no       128  0   522   522 3759B 0.1%
  12    22 image    1727  1149  rgb     3   8  image  no       135  0   522   522  160K 2.7%
  12    23 smask    1727  1149  gray    1   8  image  no       135  0   522   522 1946B 0.1%
  12    24 image    2021   783  rgb     3   8  image  no       136  0   965   965  127K 2.7%
  12    25 smask    2021   783  gray    1   8  image  no       136  0   965   965 1556B 0.1%
  12    26 image    2017   783  rgb     3   8  image  no       137  0   963   963  103K 2.2%
  12    27 smask    2017   783  gray    1   8  image  no       137  0   963   963 1553B 0.1%
  13    28 image    3600   960  rgb     3   8  image  no       146  0  1256  1256 63.4K 0.6%
  13    29 smask    3600   960  gray    1   8  image  no       146  0  1256  1256 3372B 0.1%
  13    30 image    2400  1350  rgb     3   8  image  no       147  0   947   947  104K 1.1%
  13    31 smask    2400  1350  gray    1   8  image  no       147  0   947   947 3162B 0.1%
  14    32 image    2970  1056  rgb     3   8  image  no       156  0   539   539  182K 2.0%
  14    33 smask    2970  1056  gray    1   8  image  no       156  0   539   539 3062B 0.1%
  15    34 image    2520  1530  rgb     3   8  image  no       163  0   522   522  209K 1.9%
  15    35 smask    2520  1530  gray    1   8  image  no       163  0   522   522 3759B 0.1%
  16    36 image    1727  1149  rgb     3   8  image  no       170  0   522   522  157K 2.7%
  16    37 smask    1727  1149  gray    1   8  image  no       170  0   522   522 1946B 0.1%
  16    38 image    2021   783  rgb     3   8  image  no       171  0   965   965  124K 2.7%
  16    39 smask    2021   783  gray    1   8  image  no       171  0   965   965 1556B 0.1%
  16    40 image    2017   783  rgb     3   8  image  no       172  0   963   963  125K 2.7%
  16    41 smask    2017   783  gray    1   8  image  no       172  0   963   963 1553B 0.1%
  17    42 image    3600   960  rgb     3   8  image  no       181  0  1256  1256 62.9K 0.6%
  17    43 smask    3600   960  gray    1   8  image  no       181  0  1256  1256 3372B 0.1%
  17    44 image    2400  1350  rgb     3   8  image  no       182  0   947   947  103K 1.1%
  17    45 smask    2400  1350  gray    1   8  image  no       182  0   947   947 3162B 0.1%
  18    46 image    2970  1056  rgb     3   8  image  no       190  0   539   539  169K 1.8%
  18    47 smask    2970  1056  gray    1   8  image  no       190  0   539   539 3062B 0.1%
  19    48 image    2520  1530  rgb     3   8  image  no       197  0   522   522  218K 1.9%
  19    49 smask    2520  1530  gray    1   8  image  no       197  0   522   522 3759B 0.1%
  20    50 image    1727  1149  rgb     3   8  image  no       205  0   522   522  157K 2.7%
  20    51 smask    1727  1149  gray    1   8  image  no       205  0   522   522 1946B 0.1%
