x_beam_mm,nearest_top_id,nearest_top_3,max_top_id,end_left_npe,end_right_npe,nearest_top_npe,nearest_top_t_mean_ns,nearest_top_fpt_mean_ns
-690,16,16 17 18,17,3073.336,27.364,318.6865,2.3460428765525383,0.34237472061760177
-670,17,17 18 16,18,2516.747,28.586,318.4955,2.3425187657959414,0.342288945479182
-650,18,18 19 17,19,2124.2825,29.907,317.989,2.3394186042882645,0.34248421436684795
-600,21,21 20 22,21,1496.681,33.471,370.7175,2.4919566483795794,0.34585894110448195
-550,23,23 24 22,24,1146.8415,37.762,316.9495,2.342169810450623,0.3424389661880872
-500,26,26 25 27,26,904.37,42.2645,373.2415,2.488637633496801,0.3453759713181556
-450,28,28 29 27,29,718.5625,47.023,319.4135,2.342337939651464,0.34239497712316347
-400,31,31 30 32,31,581.1475,53.007,367.1865,2.492594165007181,0.34578093112782576
-350,33,33 34 32,34,481.1145,60.732,318.9415,2.3389910738310955,0.34245054644612183
-300,36,36 35 37,36,397.1,67.6465,370.5675,2.491440318228006,0.3457857278465437
-250,38,38 39 37,39,336.769,76.76,318.0885,2.340133056453409,0.34233685692765836
-200,41,41 40 42,41,285.171,87.8655,370.098,2.4913442806650825,0.3456756644330591
-150,43,43 44 42,44,240.9595,100.421,318.16,2.3419122894964333,0.34244587842328506
-100,46,46 45 47,46,203.891,115.498,372.455,2.4912840317378437,0.3456479625720135
-50,48,48 49 47,49,176.127,131.034,318.1685,2.342197865919114,0.3423393553806902
0,50,50 51 49,50,150.991,151.1025,365.9995,2.552800791594493,0.35099057776752524
50,53,53 52 54,52,129.9445,175.8785,316.171,2.341293167872988,0.34217588395728554
100,55,55 56 54,55,114.3555,202.3025,369.322,2.4904488560537335,0.34584030936549687
150,58,58 57 59,57,100.5395,240.4375,317.7435,2.3404808781779756,0.3424447060945039
200,60,60 61 59,60,87.962,285.6125,371.486,2.4938577113692464,0.34568314080327944
250,63,63 62 64,62,76.6675,337.2855,317.4615,2.3413593885076813,0.3420508984790894
300,65,65 66 64,65,67.438,396.439,369.9095,2.4956766004101327,0.3455019136349453
350,68,68 67 69,67,60.637,479.982,317.5865,2.3425029813647122,0.34250687300899174
400,70,70 71 69,70,52.809,577.7995,366.2775,2.490856070986784,0.3461483635583934
450,73,73 72 74,72,46.9725,719.422,318.7385,2.3428828488476934,0.3423202696956839
500,75,75 76 74,75,41.6185,890.069,367.1165,2.4910137446822507,0.34605266976641247
550,78,78 77 79,77,37.761,1154.463,319.643,2.345895141175205,0.3424140127487848
600,80,80 81 79,80,33.0925,1486.5265,368.212,2.4952861340169035,0.3457092292476926
650,83,83 82 84,82,30.152,2133.343,319.6695,2.342538919199543,0.34248828589135366
670,84,84 83 85,83,28.211,2496.3285,316.436,2.340290091556394,0.34265721412665373
690,85,85 84 83,84,27.632,3089.5875,320.6475,2.3455464251983504,0.34224234081407595
