frame,frametitle,include_exact,relative_path,expected_absolute,exists,size_bytes,extension,valid,validation,sha256,possible_generator,classification,search_candidates
5,Position x=-690 mm,\includegraphics[width=\textwidth]{figs/muon_-690mm_geometry.png},figs/muon_-690mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-690mm_geometry.png,True,85711,.png,True,Pillow:PNG,1e7d92e62570553b732a1c4f79a854adca17db664553a4bf34735f3c93bf0d52,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-690mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-690mm_geometry.png
5,Position x=-690 mm,\includegraphics[width=\textwidth]{figs/muon_-690mm_top_profile.png},figs/muon_-690mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-690mm_top_profile.png,True,115351,.png,True,Pillow:PNG,cdefc007d39ad22330c450c56561e84c037e47609d0a400c653bd192d4b6d79c,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-690mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-690mm_top_profile.png
6,Run 1 $|$ x = -690 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-690mm.png}",figs/exec11_arrival_-690mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-690mm.png,True,229147,.png,True,Pillow:PNG,7b3d1af3f1442b7843e9d5537cdda3fa8c17fb4f13f32e8d4693cd33b8f9a5c5,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-690mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-690mm.png
7,Run 1 $|$ x = -690 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_-690mm.png}",figs/exec13_tN_-690mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_-690mm.png,True,206429,.png,True,Pillow:PNG,a5e9c4a1e298450afc71ee4fcd4032d32cd2a97cb065c33a5a276c1c6c6f7f9e,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_-690mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_-690mm.png
8,Run 1 $|$ x = -690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
8,Run 1 $|$ x = -690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
8,Run 1 $|$ x = -690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
9,Position x=-650 mm,\includegraphics[width=\textwidth]{figs/muon_-650mm_geometry.png},figs/muon_-650mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-650mm_geometry.png,True,85090,.png,True,Pillow:PNG,7ebbefbd7b31815a5fb399a89ce7a890085a685e7115d4380185e227a90fb870,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-650mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-650mm_geometry.png
9,Position x=-650 mm,\includegraphics[width=\textwidth]{figs/muon_-650mm_top_profile.png},figs/muon_-650mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-650mm_top_profile.png,True,118836,.png,True,Pillow:PNG,162c97b2b2c703e2a69707c01028e2760738e714c75a424008e3033b88bd33bf,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-650mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-650mm_top_profile.png
10,Run 2 $|$ x = -650 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-650mm.png}",figs/exec11_arrival_-650mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-650mm.png,True,216676,.png,True,Pillow:PNG,2bee0e00b110e04bbf2c2fabd94c05c45b7b482df1506566a2a641340b1f1932,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-650mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-650mm.png
11,Run 2 $|$ x = -650 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_-650mm.png}",figs/exec13_tN_-650mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_-650mm.png,True,218031,.png,True,Pillow:PNG,d95abc844ba18bffba183ca9c4dabf5a3b276e5bd1b4321ef574e524177aeadf,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_-650mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_-650mm.png
12,Run 2 $|$ x = -650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
12,Run 2 $|$ x = -650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
12,Run 2 $|$ x = -650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
13,Position x=-400 mm,\includegraphics[width=\textwidth]{figs/muon_-400mm_geometry.png},figs/muon_-400mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-400mm_geometry.png,True,86044,.png,True,Pillow:PNG,802b2661f89e6f733bac2804fd216dace3c974219b6eabfe4c413417cfb3e307,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-400mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-400mm_geometry.png
13,Position x=-400 mm,\includegraphics[width=\textwidth]{figs/muon_-400mm_top_profile.png},figs/muon_-400mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-400mm_top_profile.png,True,126950,.png,True,Pillow:PNG,9781d31fb6a67a428aab840f250d9bb764580ab4e9c082dbbaa7baf2387bb883,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-400mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-400mm_top_profile.png
