x_beam_mm,nearest_top_id,second_nearest_top_id,max_top_id,max_minus_nearest_npe,difference_error_npe,relative_difference,window_track_exception,passed,reason
-690,16,17,17,25.04499999999996,2.636187173314899,0.0785882050228044,True,True,known window-track dip <=15%
-670,17,18,18,26.129999999999995,2.703438202502509,0.08204197547532067,True,True,known window-track dip <=15%
-650,18,19,19,24.959000000000003,2.5666917593470386,0.0784901364512609,True,True,known window-track dip <=15%
-600,21,20,21,0.0,3.1022567098404346,0.0,False,True,strict maximum at nearest
-550,23,24,24,24.567499999999995,2.5044319376607143,0.07751234818165037,True,True,known window-track dip <=15%
-500,26,25,26,0.0,3.0343907424308423,0.0,False,True,strict maximum at nearest
-450,28,29,29,23.329999999999984,2.6806893913226872,0.07304011884281655,True,True,known window-track dip <=15%
-400,31,30,31,0.0,2.9851761619291417,0.0,False,True,strict maximum at nearest
-350,33,34,34,26.035499999999956,2.6409614299294493,0.08163095740127878,True,True,known window-track dip <=15%
-300,36,35,36,0.0,2.962307790178124,0.0,False,True,strict maximum at nearest
-250,38,39,39,23.976999999999975,2.6758092119487893,0.07537839312015358,True,True,known window-track dip <=15%
-200,41,40,41,0.0,2.9515666002988987,0.0,False,True,strict maximum at nearest
-150,43,44,44,25.93599999999998,2.630074255985941,0.08151873271310026,True,True,known window-track dip <=15%
-100,46,45,46,0.0,3.1439670760044542,0.0,False,True,strict maximum at nearest
-50,48,49,49,24.185000000000002,2.5650482106093055,0.07601318169460522,True,True,known window-track dip <=15%
0,50,51,50,0.0,2.86240257471761,0.0,False,True,strict maximum at nearest
50,53,52,52,25.258500000000026,2.6484550013876014,0.07988873109804513,True,True,known window-track dip <=15%
100,55,56,55,0.0,2.966332974566409,0.0,False,True,strict maximum at nearest
150,58,57,57,24.37299999999999,2.659279849461128,0.07670652586126858,True,True,known window-track dip <=15%
200,60,61,60,0.0,3.0966479948486234,0.0,False,True,strict maximum at nearest
250,63,62,62,25.664499999999975,2.6601692278640843,0.08084287386029479,True,True,known window-track dip <=15%
300,65,66,65,0.0,2.922605739703869,0.0,False,True,strict maximum at nearest
350,68,67,67,26.577499999999986,2.7518420759329554,0.0836858619620166,True,True,known window-track dip <=15%
400,70,71,70,0.0,2.779051725634124,0.0,False,True,strict maximum at nearest
450,73,72,72,25.853999999999985,2.7314399646981076,0.08111351468366697,True,True,known window-track dip <=15%
500,75,76,75,0.0,2.8272401609608613,0.0,False,True,strict maximum at nearest
550,78,77,77,25.561000000000035,2.689519746627639,0.07996733856208345,True,True,known window-track dip <=15%
600,80,81,80,0.0,2.9560795077264075,0.0,False,True,strict maximum at nearest
650,83,82,82,25.83149999999995,2.9257331789442107,0.08080689587214278,True,True,known window-track dip <=15%
670,84,83,83,24.519499999999994,2.6973586546610737,0.07748644275619714,True,True,known window-track dip <=15%
690,85,84,84,24.359000000000037,2.666943915936366,0.07596815817993291,True,True,known window-track dip <=15%
