position_mm,folder,file,size_bytes,entries,unique_events,state,error
-690.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run000.root,1363239276,21128374,10000,OK,
-670.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run001.root,1166917169,18088652,10000,OK,
-650.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run002.root,1032243510,16006720,10000,OK,
-600.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run003.root,817506134,12678159,10000,OK,
-550.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run004.root,678478926,10516201,10000,OK,
-500.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run005.root,576731308,8931252,10000,OK,
-450.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run006.root,500668622,7744777,10000,OK,
-400.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run007.root,445518934,6883921,10000,OK,
-350.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run008.root,396533929,6118803,10000,OK,
-300.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run009.root,360108490,5549914,10000,OK,
-250.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run010.root,331383366,5100686,10000,OK,
-200.0,original,results/scan_end_wrapped_2026-06-09/photon_hits_run011.root,309280014,4755133,10000,OK,
-150.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run000.root,292057140,4486257,10000,OK,
-100.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run001.root,281722955,4324357,10000,OK,
-50.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run002.root,274385048,4209720,10000,OK,
0.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run003.root,272584072,4181822,10000,OK,
50.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run004.root,275541519,4226771,10000,OK,
100.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run005.root,282132730,4329316,10000,OK,
150.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run006.root,293342281,4504117,10000,OK,
200.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run007.root,310119987,4765966,10000,OK,
250.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run008.root,331314246,5097660,10000,OK,
300.0,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run009.root,359852595,5544384,10000,OK,
350.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_350mm/photon_hits_run000.root,397743920,6136609,10000,OK,
400.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_400mm/photon_hits_run000.root,443538564,6852777,10000,OK,
450.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_450mm/photon_hits_run000.root,504674645,7806781,10000,OK,
500.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_500mm/photon_hits_run000.root,580034972,8983404,10000,OK,
550.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_550mm/photon_hits_run000.root,682264056,10576312,10000,OK,
600.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_600mm/photon_hits_run000.root,821408247,12741121,10000,OK,
650.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_650mm/photon_hits_run000.root,1037117987,16085558,10000,OK,
670.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_670mm/photon_hits_run000.root,1163882517,18045530,10000,OK,
690.0,resume_missing_2,results/scan_end_wrapped_2026-06-09/resume_missing_2/x_690mm/photon_hits_run000.root,1360985716,21096981,10000,OK,
,original,results/scan_end_wrapped_2026-06-09/photon_hits_run012.interrupted-empty.root,98640857,0,0,CORRUPTO,not found: 'sipm_hits' (with any cycle number)      Available keys: (none!)  in file results/scan_end_wrapped_2026-06-09
,resume_missing,results/scan_end_wrapped_2026-06-09/resume_missing/photon_hits_run010.root,16844343,0,0,CORRUPTO,not found: 'sipm_hits' (with any cycle number)      Available keys: (none!)  in file results/scan_end_wrapped_2026-06-09
